PeakID (cmd=annotatePeaks.pl DN1_more_accessible_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
52	chr3	107223274	107223569	+	0	NA	Intergenic	Intergenic	-1689	NM_001111143	229697	Mm.297051	NM_001111143	ENSMUSG00000046213	Cym	Gm131	chymosin	protein-coding
168	chr11	96553211	96553411	+	0	NA	intron (NM_001033186, intron 4 of 12)	intron (NM_001033186, intron 4 of 12)	88720	NM_001033186	78473	Mm.395840	NM_001033186	ENSMUSG00000057058	Skap1	1700091G21Rik|Scap1|Skap-55	src family associated phosphoprotein 1	protein-coding
143	chr10	68166985	68167254	+	0	NA	intron (NM_023598, intron 4 of 9)	intron (NM_023598, intron 4 of 9)	111607	NM_023598	71371	Mm.440357	NM_023598	ENSMUSG00000019947	Arid5b	4930580B11|5430435G07Rik|AI467247|Desrt|Mrf2|Mrf2alpha|Mrf2beta	AT rich interactive domain 5B (MRF1-like)	protein-coding
144	chr10	78123880	78124095	+	0	NA	Intergenic	MMVL30-int|LTR|ERV1	45768	NM_138601	28295	Mm.268691	NM_138601	ENSMUSG00000053329	Gatd3a	C21orf33|D10Jhu81e|ES1	glutamine amidotransferase like class 1 domain containing 3A	protein-coding
40	chr3	37302837	37303101	+	0	NA	Intergenic	Intergenic	9477	NM_145825	207175	Mm.344708	NM_145825	ENSMUSG00000045031	Cetn4	-	centrin 4	protein-coding
203	chr13	84646940	84647162	+	0	NA	Intergenic	Intergenic	424755	NM_001361911	72745	Mm.295063	NM_175187	ENSMUSG00000035762	Tmem161b	2810446P07Rik|AI843389	transmembrane protein 161B	protein-coding
207	chr13	98291838	98292042	+	0	NA	Intergenic	ORR1D2|LTR|ERVL-MaLR	25027	NM_145455	218490	Mm.371688	NM_145455	ENSMUSG00000021660	Btf3	1700054E11Rik	basic transcription factor 3	protein-coding
209	chr13	100892260	100892430	+	0	NA	Intergenic	Intergenic	-58918	NM_022885	69048	Mm.402215	NM_022885	ENSMUSG00000021629	Slc30a5	1810010K08Rik|AF233321|ZNT5|ZTL1|ZnT-5|Zntl1	solute carrier family 30 (zinc transporter), member 5	protein-coding
196	chr13	30460636	30460940	+	0	NA	Intergenic	RLTR45|LTR|ERVK	84528	NM_025710	66694	Mm.181933	NM_025710	ENSMUSG00000038462	Uqcrfs1	4430402G14Rik|AI875505	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	protein-coding
240	chr17	19226028	19226371	+	0	NA	Intergenic	ERVB4_3-LTR_MM|LTR|ERVK	-135936	NM_001104551	665376	Mm.469859	NM_001104551	ENSMUSG00000090304	Vmn2r99	EG665376	vomeronasal 2, receptor 99	protein-coding
76	chr5	30775015	30775315	+	0	NA	intron (NM_001356948, intron 2 of 12)	intron (NM_001356948, intron 2 of 12)	-39476	NM_133350	100732	Mm.332295	NM_133350	ENSMUSG00000029166	Mapre3	AI790651|EB2|EB3|EBF3|RP3	microtubule-associated protein, RP/EB family, member 3	protein-coding
205	chr13	88707648	88707962	+	0	NA	Intergenic	MLT1E|LTR|ERVL-MaLR	-113667	NM_010103	13612	Mm.125580	NM_010103	ENSMUSG00000034488	Edil3	Del-1|Del1|Sox2-cre|Sox2Cre|Tg(Sox2-cre)1Amc	EGF-like repeats and discoidin I-like domains 3	protein-coding
186	chr12	81019333	81019828	+	0	NA	Intergenic	RLTR11B|LTR|ERVK	-7228	NM_001146217	64075	Mm.273295	NM_022316	ENSMUSG00000021136	Smoc1	2600002F22Rik|AI848508|SRG	SPARC related modular calcium binding 1	protein-coding
78	chr5	38598559	38598925	+	0	NA	Intergenic	IAPLTR2_Mm|LTR|ERVK	-37043	NM_011715	22388	Mm.2654	NM_011715	ENSMUSG00000005103	Wdr1	Aip1|D5Wsu185e|rede	WD repeat domain 1	protein-coding
218	chr14	115048106	115048325	+	0	NA	Intergenic	Intergenic	3788	NR_029816	751549		NR_029816	ENSMUSG00000076062	Mir92-1	Mirn92-1|mir-92a-1	microRNA 92-1	ncRNA
107	chr6	147277406	147277661	+	0	NA	Intergenic	Intergenic	-13520	NM_008970	19227	Mm.28440	NM_008970	ENSMUSG00000048776	Pthlh	PLP|PTH-like|Pthrp	parathyroid hormone-like peptide	protein-coding
230	chr15	103130743	103131002	+	0	NA	intron (NR_045743, intron 3 of 6)	B3|SINE|B2	15956	NR_045743	432989	Mm.383979	NR_045743	ENSMUSG00000097003	D930007P13Rik	-	Riken cDNA D930007P13 gene	ncRNA
113	chr7	80421923	80422216	+	0	NA	Intergenic	Intergenic	-16633	NM_001081454	18550	Mm.5241	NM_011046	ENSMUSG00000030530	Furin	9130404I01Rik|Fur|PACE|Pcsk3|SPC1	furin (paired basic amino acid cleaving enzyme)	protein-coding
25	chr2	46182876	46183108	+	0	NA	Intergenic	Intergenic	486387	NR_040497	69405	Mm.396184	NR_040497	ENSMUSG00000086202	1700019E08Rik	-	RIKEN cDNA 1700019E08 gene	ncRNA
146	chr10	81285782	81285999	+	0	NA	promoter-TSS (NM_001282096)	promoter-TSS (NM_001282096)	-109	NM_001282096	27375	Mm.27984	NM_013769	ENSMUSG00000034917	Tjp3	-	tight junction protein 3	protein-coding
108	chr6	147748121	147748345	+	0	NA	Intergenic	Intergenic	57992	NR_033636	100039727	Mm.396220	NR_033636	ENSMUSG00000085077	1700049E15Rik	Gm15761	RIKEN cDNA 1700049E15 gene	ncRNA
7	chr1	95077001	95077389	+	0	NA	Intergenic	Intergenic	-236433	NM_026321	67698	Mm.272705	NM_026321	ENSMUSG00000051185	Fam174a	2310044D20Rik|Fam174|Naa6|Tmem157	family with sequence similarity 174, member A	protein-coding
10	chr1	111394514	111394956	+	0	NA	Intergenic	Intergenic	-417142	NM_001356415	227485	Mm.322070	NM_001081386	ENSMUSG00000047216	Cdh19	-	cadherin 19, type 2	protein-coding
252	chr17	94424581	94424961	+	0	NA	Intergenic	Intergenic	325248	NM_001357136	76781	Mm.139146	NM_176917	ENSMUSG00000055660	Mettl4	2410198H06Rik|A730091E08Rik|AV296509|HsT661	methyltransferase like 4	protein-coding
169	chr11	97546971	97547295	+	0	NA	intron (NM_018873, intron 3 of 19)	CpG	27993	NM_018873	56013	Mm.342665	NM_018873	ENSMUSG00000038453	Srcin1	P140|SNIP|mKIAA1684|p140Cap	SRC kinase signaling inhibitor 1	protein-coding
187	chr12	82214978	82215271	+	0	NA	intron (NM_001167983, intron 1 of 23)	intron (NM_001167983, intron 1 of 23)	45108	NM_001167983	217692	Mm.261333	NM_172579	ENSMUSG00000042700	Sipa1l1	4931426N11Rik|AW213287|Spar|mKIAA0440	signal-induced proliferation-associated 1 like 1	protein-coding
44	chr3	69364651	69365194	+	0	NA	intron (NM_178726, intron 1 of 3)	ID_B1|SINE|B4	48004	NM_178726	242083	Mm.40577	NM_178726	ENSMUSG00000027784	Ppm1l	3222401G13|5930404J21Rik|AI481720|AW045850|PP2C|PP2Cepsilon|Pp2ce|Ppp2ce|mKIAA4175	protein phosphatase 1 (formerly 2C)-like	protein-coding
6	chr1	90505691	90505884	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	-97638	NM_133805	108679	Mm.119177	NM_133805	ENSMUSG00000034432	Cops8	9430009J09Rik|AA408242|Csn8|Sgn8	COP9 signalosome subunit 8	protein-coding
90	chr5	148595153	148595591	+	0	NA	Intergenic	MLT1N2|LTR|ERVL-MaLR	-42584	NM_011908	24109	Mm.21846	NM_011908	ENSMUSG00000001687	Ubl3	AW108023|HCG|MUB|mmMUB	ubiquitin-like 3	protein-coding
220	chr14	120432752	120432934	+	0	NA	Intergenic	B3|SINE|B2	-45618	NM_029519	76108	Mm.261448	NM_029519	ENSMUSG00000051615	Rap2a	5830461H18Rik	RAS related protein 2a	protein-coding
179	chr12	58268056	58268944	+	0	NA	exon (NM_025809, exon 1 of 1)	exon (NM_025809, exon 1 of 1)	758	NM_025809	66864	Mm.280563	NM_025809	ENSMUSG00000045930	Clec14a	1200003C23Rik|AI642649	C-type lectin domain family 14, member a	protein-coding
74	chr5	23826258	23826758	+	0	NA	Intergenic	MTE2a|LTR|ERVL-MaLR	17637	NM_025394	66169	Mm.291868	NM_025394	ENSMUSG00000028998	Tomm7	1110020J08Rik|AW047273|Tom7	translocase of outer mitochondrial membrane 7	protein-coding
15	chr1	166516692	166517378	+	0	NA	Intergenic	RLTR45|LTR|ERVK	-19447	NM_001164306	226601	Mm.475593	NM_001164306	ENSMUSG00000086056	Gm4846	EG226601|Fmo13	predicted gene 4846	protein-coding
217	chr14	86011262	86011846	+	0	NA	Intergenic	Intergenic	-234416	NR_040457	75155	Mm.399239	NR_040457	ENSMUSG00000115271	4930529K09Rik	4930507G21Rik	RIKEN cDNA 4930529K09 gene	ncRNA
245	chr17	63967841	63968120	+	0	NA	intron (NM_008000, intron 4 of 13)	intron (NM_008000, intron 4 of 13)	30008	NM_008000	14158	Mm.23039	NM_008000	ENSMUSG00000000127	Fer	AV082135|C330004K01Rik|Fert|Fert2	fer (fms/fps related) protein kinase	protein-coding
120	chr7	130834433	130834641	+	0	NA	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	-31187	NM_133942	101476	Mm.323554	NM_133942	ENSMUSG00000040268	Plekha1	AA960558|C920009D07Rik|TAPP1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	protein-coding
259	chr18	86386404	86386731	+	0	NA	Intergenic	Lx8|LINE|L1	-8385	NM_001360910	246317	Mm.329578	NM_144946	ENSMUSG00000050321	Neto1	AI851453|Btcl1|C130005O10Rik	neuropilin (NRP) and tolloid (TLL)-like 1	protein-coding
224	chr15	5493313	5493568	+	0	NA	Intergenic	Intergenic	-2878	NR_045274	71432	Mm.291087	NR_045274	ENSMUSG00000110018	5430437J10Rik	-	RIKEN cDNA 5430437J10 gene	ncRNA
242	chr17	19401424	19401852	+	0	NA	Intergenic	Intergenic	39503	NM_001104551	665376	Mm.469859	NM_001104551	ENSMUSG00000090304	Vmn2r99	EG665376	vomeronasal 2, receptor 99	protein-coding
117	chr7	114581176	114581376	+	0	NA	Intergenic	L1M5|LINE|L1	-18304	NR_110407	244209	Mm.108037	NM_177382	ENSMUSG00000030670	Cyp2r1	-	cytochrome P450, family 2, subfamily r, polypeptide 1	protein-coding
99	chr6	77688733	77689221	+	0	NA	intron (NM_145732, intron 4 of 18)	intron (NM_145732, intron 4 of 18)	290690	NM_001355193	12386	Mm.34637	NM_009819	ENSMUSG00000063063	Ctnna2	AI481747|Catna|Catna2|cdf|chp	catenin (cadherin associated protein), alpha 2	protein-coding
43	chr3	64831500	64832086	+	0	NA	intron (NR_003962, intron 1 of 8)	ORR1E|LTR|ERVL-MaLR	12950	NR_003962	319210	Mm.246646	NM_175670	ENSMUSG00000097538	Vmn2r-ps11	4930518C23Rik	vomeronasal 2, receptor, pseudogene 11	pseudo
260	chr18	86394732	86395124	+	0	NA	promoter-TSS (NM_144946)	promoter-TSS (NM_144946)	-24	NM_001360910	246317	Mm.329578	NM_144946	ENSMUSG00000050321	Neto1	AI851453|Btcl1|C130005O10Rik	neuropilin (NRP) and tolloid (TLL)-like 1	protein-coding
150	chr10	97111767	97112104	+	0	NA	Intergenic	Intergenic	76167	NR_045358	75301	Mm.108650	NR_045358	ENSMUSG00000111924	4930556N09Rik	-	RIKEN cDNA 4930556N09 gene	ncRNA
165	chr11	95981149	95981330	+	0	NA	intron (NM_009951, intron 2 of 14)	B3|SINE|B2	-17856	NR_037223	100526468		NR_037223	ENSMUSG00000093358	Mir3063	mmu-mir-3063	microRNA 3063	ncRNA
171	chr11	109925034	109925420	+	0	NA	Intergenic	RLTR45|LTR|ERVK	70618	NM_001362749	27404	Mm.341004	NM_013851	ENSMUSG00000020620	Abca8b	Abca8	ATP-binding cassette, sub-family A (ABC1), member 8b	protein-coding
35	chr2	150268118	150269258	+	0	NA	exon (NM_001142410, exon 4 of 4)	exon (NM_001142410, exon 4 of 4)	11171	NM_001142410	100216455	Mm.484816	NM_001142410	ENSMUSG00000079008	Gm14124	EG640962|Gm10749	predicted gene 14124	protein-coding
29	chr2	80321753	80322026	+	0	NA	intron (NM_024181, intron 4 of 22)	intron (NM_024181, intron 4 of 22)	6423	NM_024181	66861	Mm.21762	NM_024181	ENSMUSG00000027006	Dnajc10	1200006L06Rik|D2Ertd706e|ERdj5|JPDI	DnaJ heat shock protein family (Hsp40) member C10	protein-coding
191	chr12	97882610	97882905	+	0	NA	Intergenic	Intergenic	376702	NM_008079	14420	Mm.5120	NM_008079	ENSMUSG00000021003	Galc	2310068B06Rik|A930008M05Rik|AW212969|AW413532|Gacy|twi|twitcher	galactosylceramidase	protein-coding
115	chr7	100674872	100675083	+	0	NA	Intergenic	B2_Mm2|SINE|B2	-12583	NM_013746	27276	Mm.491216	NM_013746	ENSMUSG00000030701	Plekhb1	AI315628|PHR1|Phret1|evt-1	pleckstrin homology domain containing, family B (evectins) member 1	protein-coding
145	chr10	80305052	80305322	+	0	NA	exon (NM_011789, exon 6 of 14)	exon (NM_011789, exon 6 of 14)	3367	NM_011789	23805	Mm.57247	NM_011789	ENSMUSG00000020135	Apc2	AI852447|APCL|R75424	adenomatosis polyposis coli 2	protein-coding
174	chr11	117043504	117043707	+	0	NA	Intergenic	Intergenic	-33178	NR_027059	76972	Mm.309167	NR_027059	ENSMUSG00000086859	Snhg20	2810008D09Rik	small nucleolar RNA host gene 20	ncRNA
204	chr13	85207493	85207750	+	0	NA	intron (NM_023243, intron 6 of 8)	intron (NM_023243, intron 6 of 8)	18236	NM_001347588	66671	Mm.18474	NM_023243	ENSMUSG00000021548	Ccnh	6330408H09Rik|AI661354|AV102684|AW538719	cyclin H	protein-coding
216	chr14	55629460	55629712	+	0	NA	intron (NR_153401, intron 19 of 29)	B1_Mus2|SINE|Alu	6098	NM_024267	75751	Mm.27546	NM_024267	ENSMUSG00000002319	Ipo4	8430408O15Rik|AA409693|Imp4a|RanBP4	importin 4	protein-coding
208	chr13	99317279	99317499	+	0	NA	Intergenic	Intergenic	27289	NM_026873	68927	Mm.276502	NM_026873	ENSMUSG00000021650	Ptcd2	1190005P08Rik	pentatricopeptide repeat domain 2	protein-coding
161	chr11	85560318	85560560	+	0	NA	intron (NM_138681, intron 21 of 25)	intron (NM_138681, intron 21 of 25)	159305	NR_045875	71489	Mm.442482	NR_045875	ENSMUSG00000086199	Bcas3os1	8430403D17Rik	breast carcinoma amplified sequence 3, opposite strand 1	ncRNA
125	chr8	126205869	126206397	+	0	NA	intron (NM_001363500, intron 2 of 7)	B4|SINE|B4	67008	NM_001363500	210027	Mm.405238	NM_175434	ENSMUSG00000057060	Slc35f3	B230375D17Rik	solute carrier family 35, member F3	protein-coding
70	chr4	121208597	121209152	+	0	NA	intron (NM_001346660, intron 1 of 7)	ID_B1|SINE|B4	6210	NM_001346660	109263	Mm.215745	NM_001081013	ENSMUSG00000049878	Rlf	9230110M18Rik|AI195322|MommeD8	rearranged L-myc fusion sequence	protein-coding
89	chr5	137657059	137657328	+	0	NA	intron (NM_178162, intron 6 of 11)	AT_rich|Low_complexity|Low_complexity	-11479	NM_010571	16369	Mm.24486	NM_010571	ENSMUSG00000047182	Irs3	AA408304	insulin receptor substrate 3	protein-coding
21	chr2	24355369	24355573	+	0	NA	Intergenic	PB1D10|SINE|Alu	10100	NM_001039701	16181	Mm.882	NM_031167	ENSMUSG00000026981	Il1rn	F630041P17Rik|IL-1ra	interleukin 1 receptor antagonist	protein-coding
9	chr1	102357972	102358487	+	0	NA	Intergenic	RLTR45|LTR|ERVK	1202461	NR_037989	100504525	Mm.87065	NR_037989	ENSMUSG00000100684	Gm20268	-	predicted gene, 20268	ncRNA
93	chr6	28664376	28664663	+	0	NA	intron (NM_019776, intron 11 of 23)	intron (NM_019776, intron 11 of 23)	167228	NM_138682	192198	Mm.443660	NM_138682	ENSMUSG00000049939	Lrrc4	MBAG1|NGL-2|NGL2|NLG-2|Nag14	leucine rich repeat containing 4	protein-coding
247	chr17	76111765	76112140	+	0	NA	Intergenic	Intergenic	250929	NR_033456	100043885	Mm.127562	NR_033456	ENSMUSG00000117539	Gm4710	-	predicted gene 4710	ncRNA
59	chr3	142950448	142950789	+	0	NA	Intergenic	Intergenic	68123	NR_152127	320229	Mm.187582	NR_152127		9530052C20Rik	-	RIKEN cDNA 9530052C20 gene	ncRNA
262	chr19	33480501	33480713	+	0	NA	Intergenic	Intergenic	37163	NM_001323386	628236		NM_001323386	ENSMUSG00000079344	Lipo4	Gm6857	lipase, member O4	protein-coding
167	chr11	96536214	96536427	+	0	NA	intron (NM_001033186, intron 3 of 12)	intron (NM_001033186, intron 3 of 12)	71729	NM_001033186	78473	Mm.395840	NM_001033186	ENSMUSG00000057058	Skap1	1700091G21Rik|Scap1|Skap-55	src family associated phosphoprotein 1	protein-coding
261	chr19	22304331	22304549	+	0	NA	intron (NM_001035239, intron 1 of 24)	(G)n|Simple_repeat|Simple_repeat	-143768	NM_001362507	226025	Mm.131943	NM_177341	ENSMUSG00000052387	Trpm3	6330504P12Rik|9330180E14|AU018608|B930001P07Rik|LTRPC3|MLSN2	transient receptor potential cation channel, subfamily M, member 3	protein-coding
198	chr13	45371803	45372129	+	0	NA	Intergenic	Intergenic	-17776	NM_153789	218203	Mm.212855	NM_153789	ENSMUSG00000038175	Mylip	9430057C20Rik|Mir	myosin regulatory light chain interacting protein	protein-coding
127	chr8	128663198	128663383	+	0	NA	Intergenic	Intergenic	-22364	NM_010578	16412	Mm.263396	NM_010578	ENSMUSG00000025809	Itgb1	4633401G24Rik|AA409975|AA960159|CD29|Fnrb|Gm9863|gpIIa	integrin beta 1 (fibronectin receptor beta)	protein-coding
79	chr5	62909364	62909555	+	0	NA	Intergenic	Intergenic	97803	NM_001170705	100322896		NM_001170705	ENSMUSG00000090326	Dthd1	Gm17384	death domain containing 1	protein-coding
23	chr2	27969341	27969554	+	0	NA	intron (NM_015734, intron 18 of 65)	intron (NM_015734, intron 18 of 65)	83022	NM_015734	12831	Mm.7281	NM_015734	ENSMUSG00000026837	Col5a1	AI413331	collagen, type V, alpha 1	protein-coding
5	chr1	74415337	74415713	+	0	NA	intron (NM_009509, intron 2 of 19)	intron (NM_009509, intron 2 of 19)	6141	NM_009509	22349	Mm.471601	NM_009509	ENSMUSG00000026175	Vil1	Vil	villin 1	protein-coding
182	chr12	66093461	66093681	+	0	NA	Intergenic	MLTR31FA_MM|LTR|ERVK	190830	NM_001162933	238217	Mm.188575	NM_001162933	ENSMUSG00000060499	Rpl10l	EG238217	ribosomal protein L10-like	protein-coding
109	chr7	16131028	16131382	+	0	NA	intron (NM_148946, intron 1 of 9)	intron (NM_148946, intron 1 of 9)	1379	NM_001347561	110891	Mm.241147	NM_148946	ENSMUSG00000030376	Slc8a2	Ncx2	solute carrier family 8 (sodium/calcium exchanger), member 2	protein-coding
184	chr12	76593906	76594155	+	0	NA	intron (NM_013675, intron 32 of 35)	intron (NM_013675, intron 32 of 35)	-46105	NR_046044	100504549	Mm.440349	NR_046044	ENSMUSG00000112388	AI463170	-	expressed sequence AI463170	ncRNA
200	chr13	74025732	74025920	+	0	NA	intron (NM_182839, intron 2 of 3)	intron (NM_182839, intron 2 of 3)	16407	NM_182839	72948	Mm.39752	NM_182839	ENSMUSG00000021573	Tppp	2900041A09Rik|AI849835	tubulin polymerization promoting protein	protein-coding
126	chr8	128549929	128550102	+	0	NA	Intergenic	Intergenic	-135639	NM_010578	16412	Mm.263396	NM_010578	ENSMUSG00000025809	Itgb1	4633401G24Rik|AA409975|AA960159|CD29|Fnrb|Gm9863|gpIIa	integrin beta 1 (fibronectin receptor beta)	protein-coding
228	chr15	52944666	52944904	+	0	NA	Intergenic	Intergenic	232340	NM_027212	69790	Mm.195562	NM_027212	ENSMUSG00000038622	Med30	1810038N03Rik|2510044J04Rik|TRAP25|Thrap6	mediator complex subunit 30	protein-coding
72	chr4	140702815	140703033	+	0	NA	intron (NM_173867, intron 2 of 12)	CpG-10575	1451	NM_173867	108911	Mm.253	NM_173867	ENSMUSG00000040945	Rcc2	2610510H01Rik|2610529N02Rik|AA536646|AA675016|Td60|mKIAA1470	regulator of chromosome condensation 2	protein-coding
62	chr4	10940799	10941212	+	0	NA	Intergenic	Intergenic	66507	NM_026005	67157	Mm.440552	NM_026005	ENSMUSG00000059482	2610301B20Rik	AI428449	RIKEN cDNA 2610301B20 gene	protein-coding
55	chr3	122647922	122648252	+	0	NA	Intergenic	Intergenic	-28373	NM_001114665	214459	Mm.209491	NM_153118	ENSMUSG00000039735	Fnbp1l	2610318I01Rik|AW548221|TOCA1|toca-1	formin binding protein 1-like	protein-coding
270	chrY	90828600	90829046	+	0	NA	Intergenic	CpG	10583	NR_137283	654820	Mm.34441	NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
133	chr9	67634066	67634341	+	0	NA	Intergenic	Intergenic	-74500	NM_001081242	70549	Mm.33645	NM_027458	ENSMUSG00000052698	Tln2	5730421P04Rik|AI507121|AI787438|AL118320|mKIAA0320	talin 2	protein-coding
155	chr11	21788777	21789152	+	0	NA	intron (NM_001364768, intron 12 of 16)	RLTR50A|LTR|ERVK	212687	NM_011023	18423	Mm.129663	NM_011023	ENSMUSG00000005917	Otx1	A730044F23Rik|jv	orthodenticle homeobox 1	protein-coding
56	chr3	129421958	129422139	+	0	NA	Intergenic	Intergenic	-11625	NR_033594	435755	Mm.430561	NR_033594	ENSMUSG00000105712	Pou5f1-rs4	EG435755|Gm5712|Oct4P1|Otf3-rs4|Otf3d	POU domain, class 5, transcription factor 1, related sequence 4	pseudo
68	chr4	65768105	65768326	+	0	NA	intron (NM_207109, intron 11 of 22)	intron (NM_207109, intron 11 of 22)	163229	NM_053084	69807	Mm.22786	NM_053084	ENSMUSG00000051675	Trim32	1810045E12Rik|3f3|BBS11|Zfp117	tripartite motif-containing 32	protein-coding
139	chr9	103402551	103402813	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	-20896	NR_040466	100529079	Mm.437003	NR_040466	ENSMUSG00000086236	5830418P13Rik	-	RIKEN cDNA 5830418P13 gene	ncRNA
152	chr10	112277989	112278607	+	0	NA	intron (NM_001359753, intron 2 of 4)	intron (NM_001359753, intron 2 of 4)	7025	NM_001359753	268345	Mm.336242	NM_001025581	ENSMUSG00000035681	Kcnc2	AW047325|B230117I07|KShIIIA|Kv3.2	potassium voltage gated channel, Shaw-related subfamily, member 2	protein-coding
49	chr3	84692960	84693160	+	0	NA	intron (NM_177260, intron 6 of 6)	intron (NM_177260, intron 6 of 6)	26868	NM_177260	320782	Mm.107370	NM_177260	ENSMUSG00000056498	Tmem154	9930117H01Rik	transmembrane protein 154	protein-coding
151	chr10	104533640	104533895	+	0	NA	Intergenic	ORR1A0-int|LTR|ERVL-MaLR	246498	NR_105838	102465222		NR_105838	ENSMUSG00000099264	Mir6411	Gm27767|mmu-mir-6411	microRNA 6411	ncRNA
8	chr1	99812035	99812802	+	0	NA	intron (NM_172851, intron 1 of 23)	B2_Mm2|SINE|B2	40017	NM_172851	241175	Mm.251301	NM_172851	ENSMUSG00000067028	Cntnap5b	C230078M14Rik|Caspr5-2	contactin associated protein-like 5B	protein-coding
197	chr13	33201050	33201433	+	0	NA	intron (NM_011460, intron 6 of 6)	RMER17A2|LTR|ERVK	8286	NM_011460	20726	Mm.234774	NM_011460	ENSMUSG00000054266	Serpinb9d	AT2|Spi9|ovalbumin	serine (or cysteine) peptidase inhibitor, clade B, member 9d	protein-coding
251	chr17	90129341	90129659	+	0	NA	intron (NM_001346957, intron 17 of 18)	Lx8b|LINE|L1	-41132	NM_001347419	18189	Mm.478418	NM_020252	ENSMUSG00000024109	Nrxn1	1700062G21Rik|9330127H16Rik|A230068P09Rik|mKIAA0578	neurexin I	protein-coding
75	chr5	29489844	29490049	+	0	NA	Intergenic	Intergenic	-11476	NM_019944	15285	Mm.103760	NM_019944	ENSMUSG00000001566	Mnx1	HB9|Hlxb9|MNR2	motor neuron and pancreas homeobox 1	protein-coding
130	chr9	53562409	53562664	+	0	NA	exon (NM_001081152, exon 13 of 18)	exon (NM_001081152, exon 13 of 18)	25489	NM_001081152	244879	Mm.116713	NM_001081152	ENSMUSG00000033054	Npat	6820401K01|AI427561|BB112559	nuclear protein in the AT region	protein-coding
12	chr1	135063555	135063882	+	0	NA	intron (NM_001033409, intron 3 of 17)	intron (NM_001033409, intron 3 of 17)	41558	NM_001033409	329252	Mm.279594	NM_001033409	ENSMUSG00000042793	Lgr6	A530037C04Rik|D830026M09	leucine-rich repeat-containing G protein-coupled receptor 6	protein-coding
221	chr14	120520020	120520293	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	41695	NM_029519	76108	Mm.261448	NM_029519	ENSMUSG00000051615	Rap2a	5830461H18Rik	RAS related protein 2a	protein-coding
213	chr13	118714902	118715635	+	0	NA	5' UTR (NM_008002, exon 1 of 3)	5' UTR (NM_008002, exon 1 of 3)	569	NM_008002	14165	Mm.317323	NM_008002	ENSMUSG00000021732	Fgf10	AEY17|BB213776|Fgf-10|Gsfaey17	fibroblast growth factor 10	protein-coding
257	chr18	60894288	60894532	+	0	NA	Intergenic	L1MB5|LINE|L1	-17581	NM_001038499	545260	Mm.20147	NM_001038499	ENSMUSG00000036412	Arsi	BC020108	arylsulfatase i	protein-coding
66	chr4	39113285	39113741	+	0	NA	Intergenic	RLTR45|LTR|ERVK	-258030	NR_151606	102636968	Mm.136083	NR_151606	ENSMUSG00000085632	Gm12381	-	predicted gene 12381	ncRNA
189	chr12	85492073	85492367	+	0	NA	Intergenic	Intergenic	18330	NM_010234	14281	Mm.246513	NM_010234	ENSMUSG00000021250	Fos	D12Rfj1|c-fos|cFos	FBJ osteosarcoma oncogene	protein-coding
95	chr6	59363481	59363720	+	0	NA	intron (NM_183183, intron 1 of 1)	intron (NM_183183, intron 1 of 1)	62706	NM_183183	243385	Mm.138080	NM_183183	ENSMUSG00000045441	Gprin3	C030038J10Rik|C730021L23	GPRIN family member 3	protein-coding
64	chr4	14077680	14078117	+	0	NA	Intergenic	Intergenic	213411	NR_131155	100040030	Mm.366499	NR_131155		Gm2560	-	predicted gene 2560	ncRNA
103	chr6	127828265	127828480	+	0	NA	Intergenic	RLTR9A2|LTR|ERVK	-40229	NR_106092	102466996		NR_106092	ENSMUSG00000104804	Mir7233	mmu-mir-7233	microRNA 7233	ncRNA
92	chr6	12080505	12080783	+	0	NA	intron (NM_001362122, intron 16 of 16)	intron (NM_001362122, intron 16 of 16)	28936	NR_003631	625347	Mm.389084	NM_001039041	ENSMUSG00000057223	Gm6578	EG625347	mitochondrial ribosomal protein L32 pseudogene	pseudo
105	chr6	130136336	130136884	+	0	NA	intron (NM_053152, intron 3 of 5)	intron (NM_053152, intron 3 of 5)	-6712	NM_001101620	16639	Mm.439698	NM_010650	ENSMUSG00000089727	Klra8	Cmv-1|Cmv1|Ly49h|Ly49u<129>	killer cell lectin-like receptor, subfamily A, member 8	protein-coding
33	chr2	147375049	147375236	+	0	NA	TTS (NM_008780)	TTS (NM_008780)	10148	NM_008780	18503	Mm.315502	NM_008780	ENSMUSG00000037034	Pax1	Pax-1|hbs|hunchback|un|undulated|wt	paired box 1	protein-coding
39	chr3	28244286	28244932	+	0	NA	Intergenic	MTEa|LTR|ERVL-MaLR	-18605	NM_026910	665113	Mm.126193	NM_026910	ENSMUSG00000027692	Tnik	1500031A17Rik|4831440I19Rik|AI451411|C530008O15Rik|C630040K21Rik	TRAF2 and NCK interacting kinase	protein-coding
