PeakID (cmd=annotatePeaks.pl DN1_less_accessible_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
270	chr2	144198659	144198940	+	0	NA	Intergenic	Intergenic	-9509	NR_136884	433481	Mm.330630	NR_136884	ENSMUSG00000074758	Gm5535	EG433481	predicted gene 5535	ncRNA
496	chr4	95765586	95765794	+	0	NA	intron (NM_029347, intron 7 of 10)	intron (NM_029347, intron 7 of 10)	186269	NM_029347	75578	Mm.276098	NM_029347	ENSMUSG00000028573	Fggy	2310009E04Rik	FGGY carbohydrate kinase domain containing	protein-coding
1219	chr10	111724846	111725134	+	0	NA	Intergenic	Intergenic	-130717	NR_045344	71321	Mm.410785	NR_045344	ENSMUSG00000097082	4933440J02Rik	-	RIKEN cDNA 4933440J02 gene	ncRNA
1514	chr13	93852480	93852686	+	0	NA	intron (NM_009712, intron 4 of 7)	intron (NM_009712, intron 4 of 7)	61806	NR_049198	100885837		NR_049198	ENSMUSG00000093480	Mir5624	Gm25075|mir-5624|mmu-mir-5624	microRNA 5624	ncRNA
959	chr8	33540496	33540745	+	0	NA	Intergenic	Intergenic	-29924	NM_031374	104271	Mm.280624	NM_031374	ENSMUSG00000009628	Tex15	2210014E14Rik|AL022622|AU022940	testis expressed gene 15	protein-coding
1182	chr10	75078865	75079053	+	0	NA	intron (NM_001081412, intron 1 of 22)	intron (NM_001081412, intron 1 of 22)	18063	NM_001081412	110279	Mm.333722	NM_001081412	ENSMUSG00000009681	Bcr	5133400C09Rik|AI561783|AI853148|mKIAA3017	breakpoint cluster region	protein-coding
917	chr7	135142572	135142848	+	0	NA	intron (NM_001033420, intron 43 of 51)	intron (NM_001033420, intron 43 of 51)	53292	NR_046050	74314	Mm.415339	NR_046050	ENSMUSG00000100717	1700120G07Rik	-	RIKEN cDNA 1700120G07 gene	ncRNA
1544	chr14	21538466	21538637	+	0	NA	intron (NM_017479, intron 2 of 16)	intron (NM_017479, intron 2 of 16)	38766	NM_017479	54169	Mm.248967	NM_017479	ENSMUSG00000021767	Kat6b	AI507552|B130044K16Rik|MYST-4|Morf|Myst4|mKIAA0383|qkf|querkopf	K(lysine) acetyltransferase 6B	protein-coding
428	chr4	3859082	3859289	+	0	NA	Intergenic	Intergenic	12920	NM_020021	17451	Mm.459300	NM_020021	ENSMUSG00000078365	Mos	c-mos	Moloney sarcoma oncogene	protein-coding
1728	chr16	38224876	38225079	+	0	NA	intron (NM_001347232, intron 10 of 11)	MTE2a|LTR|ERVL-MaLR	69847	NM_010936	18171	Mm.8509	NM_010936	ENSMUSG00000022809	Nr1i2	PXR|PXR.1|PXR.2|PXR1|SXR|mPXR	nuclear receptor subfamily 1, group I, member 2	protein-coding
752	chr6	91576100	91576354	+	0	NA	Intergenic	Intergenic	60192	NM_026309	67678	Mm.246693	NM_026309	ENSMUSG00000034192	Lsm3	1010001J12Rik|2610005D18Rik|6030401D18Rik|SMX4|USS2	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated	protein-coding
124	chr1	165151209	165151466	+	0	NA	intron (NM_032005, intron 3 of 7)	intron (NM_032005, intron 3 of 7)	9436	NM_032005	83993	Mm.190649	NM_032005	ENSMUSG00000026572	Tbx19	AU019250|D1Ertd754e|Tpit	T-box 19	protein-coding
1493	chr13	60714286	60714537	+	0	NA	intron (NM_134062, intron 3 of 26)	intron (NM_134062, intron 3 of 26)	71953	NM_199148	218275	Mm.222427	NM_199148	ENSMUSG00000042243	BC051665	-	cDNA sequence BC051665	protein-coding
927	chr8	3327825	3328134	+	0	NA	Intergenic	Intergenic	-25458	NM_001370668	102098	Mm.170461	NM_133962	ENSMUSG00000004568	Arhgef18	A430078G23Rik|AI467246|D030053O22Rik	rho/rac guanine nucleotide exchange factor (GEF) 18	protein-coding
1584	chr14	63435236	63435496	+	0	NA	Intergenic	Intergenic	-1028	NM_177628	219148	Mm.37882	NM_177628	ENSMUSG00000035095	Fam167a	A030013D21	family with sequence similarity 167, member A	protein-coding
1611	chr14	79123619	79123883	+	0	NA	intron (NM_027906, intron 37 of 44)	L1MC4|LINE|L1	75439	NR_152203	100043765	Mm.435553	NR_152203	ENSMUSG00000115111	Gm4632	-	predicted gene 4632	ncRNA
113	chr1	156087718	156088100	+	0	NA	intron (NM_177838, intron 1 of 4)	intron (NM_177838, intron 1 of 4)	47048	NM_022329	240832	Mm.253335	NM_022329	ENSMUSG00000050565	Tor1aip2	1110020D10Rik|15kDa|A130072J07|AA103493|AW060462|AW610675|C77739|Ifrg15|Lull1	torsin A interacting protein 2	protein-coding
937	chr8	11097914	11098114	+	0	NA	Intergenic	Intergenic	-89085	NM_001081212	384783	Mm.407207	NM_001081212	ENSMUSG00000038894	Irs2	Irs-2	insulin receptor substrate 2	protein-coding
1269	chr11	33951920	33952257	+	0	NA	intron (NM_001190886, intron 1 of 7)	MLT1C|LTR|ERVL-MaLR	-10925	NM_031169	16533	Mm.6206	NM_031169	ENSMUSG00000020155	Kcnmb1	BKbeta1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	protein-coding
539	chr4	129984976	129985154	+	0	NA	promoter-TSS (NM_173071)	promoter-TSS (NM_173071)	-13	NM_173071	230775	Mm.262241	NM_173071	ENSMUSG00000028782	Adgrb2	Bai2	adhesion G protein-coupled receptor B2	protein-coding
605	chr5	63811899	63812150	+	0	NA	promoter-TSS (NM_029554)	promoter-TSS (NM_029554)	-471	NM_029554	76261	Mm.38143	NM_029554	ENSMUSG00000060512	0610040J01Rik	AI662686	RIKEN cDNA 0610040J01 gene	protein-coding
1612	chr14	79267967	79268272	+	0	NA	Intergenic	Intergenic	-20752	NM_001033215	105590	Mm.486536	NM_001033215	ENSMUSG00000071262	Zfp957	AU017455	zinc finger protein 957	protein-coding
288	chr2	152349977	152350300	+	0	NA	intron (NR_033505, intron 1 of 4)	intron (NR_033505, intron 1 of 4)	4469	NR_033505	791417	Mm.451219	NR_033505	ENSMUSG00000068062	Gm14164	-	predicted gene 14164	ncRNA
1367	chr12	41347969	41348153	+	0	NA	intron (NM_053122, intron 4 of 6)	RMER1B|Other|Other	137996	NM_010733	16981	Mm.404786	NM_010733	ENSMUSG00000036295	Lrrn3	NLRR-3	leucine rich repeat protein 3, neuronal	protein-coding
988	chr8	80463513	80463906	+	0	NA	Intergenic	Intergenic	-30336	NM_010369	14934	Mm.13123	NM_010369	ENSMUSG00000051839	Gypa	AI853584|CD235a|GPA	glycophorin A	protein-coding
1631	chr14	122050447	122050743	+	0	NA	Intergenic	Intergenic	15921	NM_001037744	223262	Mm.297637	NM_001037744	ENSMUSG00000071229	Timm8a2	-	translocase of inner mitochondrial membrane 8A2	protein-coding
1496	chr13	70981212	70981497	+	0	NA	Intergenic	B4|SINE|B4	98406	NR_157373	77166	Mm.159859	NM_029873		8030423J24Rik	-	RIKEN cDNA 8030423J24 gene	ncRNA
316	chr2	180080720	180081015	+	0	NA	intron (NM_001083329, intron 3 of 7)	intron (NM_001083329, intron 3 of 7)	10274	NM_001083329	52856	Mm.219658	NM_028422	ENSMUSG00000039069	Mtg2	1810011P19Rik|2900056P18Rik|D2Bwg0647e|Gtpbp5	mitochondrial ribosome associated GTPase 2	protein-coding
1929	chr18	49743113	49743310	+	0	NA	intron (NM_026854, intron 1 of 5)	intron (NM_026854, intron 1 of 5)	12390	NM_001170960	68857	Mm.96010	NM_026854	ENSMUSG00000024505	Dtwd2	1190002H09Rik|8030470C17Rik|AI414673|BB115449	DTW domain containing 2	protein-coding
1803	chr17	31580790	31581068	+	0	NA	intron (NM_016670, intron 1 of 10)	PB1D9|SINE|Alu	16156	NR_027493	18771	Mm.259295	NM_016670	ENSMUSG00000006705	Pknox1	D17Wsu76e|PREP1	Pbx/knotted 1 homeobox	protein-coding
17	chr1	34464400	34464624	+	0	NA	intron (NM_011206, intron 5 of 14)	L1MB8|LINE|L1	4766	NM_011206	19253	Mm.361	NM_011206	ENSMUSG00000026126	Ptpn18	FLP1|HSCF|PTP-HSCF|PTP-K1|Ptpk1	protein tyrosine phosphatase, non-receptor type 18	protein-coding
414	chr3	138060426	138060702	+	0	NA	intron (NR_037975, intron 1 of 3)	intron (NR_037975, intron 1 of 3)	-1678	NM_001370862	102634333	Mm.45669	NM_001370862	ENSMUSG00000090066	1110002E22Rik	100039528|AI415341|Gm2292	RIKEN cDNA 1110002E22 gene	protein-coding
184	chr2	37685352	37685528	+	0	NA	Intergenic	Intergenic	2844	NR_039590	100628597		NR_039590	ENSMUSG00000092958	Mir5128	mir-5128|mmu-mir-5128|mu-mir-5128	microRNA 5128	ncRNA
485	chr4	83235135	83235436	+	0	NA	intron (NM_027238, intron 17 of 19)	intron (NM_027238, intron 17 of 19)	88904	NM_027238	69863	Mm.5540	NM_025782	ENSMUSG00000038172	Ttc39b	1810054D07Rik|9130422G05Rik|AI450603|AV103077|AW215585	tetratricopeptide repeat domain 39B	protein-coding
1818	chr17	45629615	45630183	+	0	NA	TTS (NM_001013767)	TTS (NM_001013767)	-27797	NM_001177469	653016	Mm.45676	NM_001177468	ENSMUSG00000079471	Mymx	EG653016|Esgp|Gm7325|minion|myomerger	myomixer, myoblast fusion factor	protein-coding
1310	chr11	98036020	98036297	+	0	NA	TTS (NM_146028)	TTS (NM_146028)	9234	NM_009078	19921	Mm.10247	NM_009078	ENSMUSG00000017404	Rpl19	-	ribosomal protein L19	protein-coding
1426	chr12	116181410	116181827	+	0	NA	Intergenic	Intergenic	81407	NM_146039	217935	Mm.31382	NM_146039	ENSMUSG00000042050	Wdr60	D430033N04Rik	WD repeat domain 60	protein-coding
1944	chr18	62853962	62854359	+	0	NA	Intergenic	Intergenic	-68167	NM_133237	494504	Mm.24042	NM_133237	ENSMUSG00000071847	Apcdd1	AB023957|AU041258|Drapc1|EIG180	adenomatosis polyposis coli down-regulated 1	protein-coding
1950	chr18	74626250	74626507	+	0	NA	intron (NM_201600, intron 6 of 38)	intron (NM_201600, intron 6 of 38)	-95254	NR_045368	73606	Mm.444734	NR_045368		1700120E14Rik	-	RIKEN cDNA 1700120E14 gene	ncRNA
1800	chr17	29164424	29164889	+	0	NA	intron (NM_001360239, intron 16 of 21)	intron (NM_001360239, intron 16 of 21)	50475	NM_001364848	442827	Mm.20023	NM_001002786	ENSMUSG00000064147	Rab44	9830134C10Rik	RAB44, member RAS oncogene family	protein-coding
1209	chr10	95213392	95213933	+	0	NA	intron (NM_001330175, intron 2 of 2)	MLTR14|LTR|ERV1	-67837	NR_131146	628062		NR_131146	ENSMUSG00000112481	Gm29684	-	predicted gene, 29684	ncRNA
1289	chr11	61647589	61647857	+	0	NA	Intergenic	Intergenic	-5598	NM_027817	71520	Mm.202760	NM_027817	ENSMUSG00000004837	Grap	8430435N19Rik|BB233594	GRB2-related adaptor protein	protein-coding
951	chr8	25304522	25304849	+	0	NA	non-coding (NR_040352, exon 3 of 3)	non-coding (NR_040352, exon 3 of 3)	1585	NR_040352	74489	Mm.256468	NR_040352	ENSMUSG00000110140	5430421F17Rik	-	RIKEN cDNA 5430421F17 gene	ncRNA
1113	chr9	109866391	109866571	+	0	NA	Intergenic	Intergenic	-9098	NM_007658	12530	Mm.307103	NM_007658	ENSMUSG00000032477	Cdc25a	D9Ertd393e	cell division cycle 25A	protein-coding
1400	chr12	91757769	91758126	+	0	NA	intron (NM_175367, intron 1 of 6)	intron (NM_175367, intron 1 of 6)	28489	NM_175367	108800	Mm.23125	NM_175367	ENSMUSG00000020961	Ston2	4933401N24Rik|AI425999|AW544599	stonin 2	protein-coding
585	chr5	27206020	27206569	+	0	NA	intron (NM_207282, intron 1 of 25)	intron (NM_207282, intron 1 of 25)	-55641	NM_001136060	13483	Mm.42078	NM_010075	ENSMUSG00000061576	Dpp6	B930011P16Rik|D5Buc3|D5Buc4|D5Buc5|DPP VI|Dpp-6|Gm1377|In(5)6H-p|Peplb|Rw	dipeptidylpeptidase 6	protein-coding
1065	chr9	37517497	37517675	+	0	NA	intron (NM_146222, intron 2 of 3)	intron (NM_146222, intron 2 of 3)	-10503	NR_136939	69524	Mm.41751	NM_027102	ENSMUSG00000001946	Esam	2310008D05Rik|Esam1|W117m	endothelial cell-specific adhesion molecule	protein-coding
1188	chr10	78086830	78087128	+	0	NA	Intergenic	Intergenic	17611	NM_015790	50723	Mm.17819	NM_015790	ENSMUSG00000000732	Icosl	AU044799|B7-H2|B7RP-1|B7h|BG071784|GI50|GL50|GL50-B|ICOS-L|Icoslg|LICOS|Ly115l|mKIAA0653	icos ligand	protein-coding
1819	chr17	45746874	45747060	+	0	NA	intron (NR_152153, intron 1 of 4)	intron (NR_152153, intron 1 of 4)	12461	NR_152153	433111	Mm.213441	NR_152153	ENSMUSG00000097727	F630040K05Rik	-	RIKEN cDNA F630040K05 gene	ncRNA
1843	chr17	69363942	69364246	+	0	NA	Intergenic	Intergenic	-19081	NM_001356283	22666	Mm.29434	NM_009547	ENSMUSG00000049672	Zbtb14	ZF5|Zfp161|b2b1982Clo	zinc finger and BTB domain containing 14	protein-coding
272	chr2	144240286	144240588	+	0	NA	Intergenic	Intergenic	25765	NR_030762	100313519	Mm.453538	NR_030762	ENSMUSG00000077714	Snord17	MBI-43	small nucleolar RNA, C/D box 17	snoRNA
768	chr6	113517561	113518078	+	0	NA	intron (NM_175101, intron 6 of 7)	intron (NM_175101, intron 6 of 7)	13819	NM_175101	66087	Mm.275989	NM_175101	ENSMUSG00000030286	Emc3	0610039A15Rik|AI225901|AW260416|Pob|Tmem111	ER membrane protein complex subunit 3	protein-coding
1317	chr11	106572017	106572266	+	0	NA	intron (NM_198292, intron 1 of 11)	intron (NM_198292, intron 1 of 11)	40789	NM_198292	21763	Mm.102407	NM_198292	ENSMUSG00000040548	Tex2	4930568E07Rik|AI553404|Def-5|Taz4	testis expressed gene 2	protein-coding
1083	chr9	62757535	62757730	+	0	NA	exon (NM_176922, exon 15 of 30)	exon (NM_176922, exon 15 of 30)	54016	NM_010193	14155	Mm.24069	NM_010193	ENSMUSG00000032244	Fem1b	mKIAA0396	feminization 1 homolog b (C. elegans)	protein-coding
176	chr2	29718745	29718954	+	0	NA	intron (NM_001039087, intron 12 of 25)	intron (NM_001039087, intron 12 of 25)	32808	NM_001370923	433415	Mm.359309	NM_001370923	ENSMUSG00000079497	Gm13420	Dspd2	predicted gene 13420	protein-coding
1025	chr8	117859998	117860239	+	0	NA	Intergenic	Intergenic	-58144	NM_026758	68533	Mm.181836	NM_026758	ENSMUSG00000031843	Mphosph6	1110001M01Rik|AA536809|C86426	M phase phosphoprotein 6	protein-coding
1140	chr10	21640029	21640231	+	0	NA	Intergenic	Lx8b|LINE|L1	46985	NR_027968	67692	Mm.54306	NM_183266	ENSMUSG00000050844	1700020N01Rik	-	RIKEN cDNA 1700020N01 gene	ncRNA
1531	chr13	113197943	113198317	+	0	NA	Intergenic	Intergenic	-11529	NM_023612	71690	Mm.38929	NM_023612	ENSMUSG00000042379	Esm1	0610042H23Rik|AV004503|ESM-1	endothelial cell-specific molecule 1	protein-coding
1530	chr13	112779865	112780206	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	-20742	NM_008247	19012	Mm.291029	NM_008247	ENSMUSG00000021759	Plpp1	Hic53|Hpic53|LPP-1|LPP1|PAP-2a|PAP2-alpha|PAP2a|Ppap2a|mPAP	phospholipid phosphatase 1	protein-coding
279	chr2	145842010	145842222	+	0	NA	intron (NM_028724, intron 4 of 12)	intron (NM_028724, intron 4 of 12)	56000	NM_028724	74030	Mm.228799	NM_028724	ENSMUSG00000001768	Rin2	2010003K16Rik|4632403N06Rik|AW821980|RASSF4	Ras and Rab interactor 2	protein-coding
1164	chr10	59885416	59885670	+	0	NA	intron (NM_019965, intron 1 of 8)	intron (NM_019965, intron 1 of 8)	5952	NM_019965	56709	Mm.103610	NM_019965	ENSMUSG00000020109	Dnajb12	Dj10|mDj10	DnaJ heat shock protein family (Hsp40) member B12	protein-coding
1302	chr11	87817413	87817591	+	0	NA	intron (NM_080420, intron 5 of 12)	intron (NM_080420, intron 5 of 12)	8612	NM_080420	76113	Mm.41236	NM_080420	ENSMUSG00000009356	Lpo	5830499B15Rik	lactoperoxidase	protein-coding
341	chr3	49525257	49525646	+	0	NA	Intergenic	Intergenic	231865	NM_130448	73173	Mm.87246	NM_130448	ENSMUSG00000037892	Pcdh18	3110038E07Rik|BB095589|PCDH68L	protocadherin 18	protein-coding
827	chr7	29402105	29402281	+	0	NA	intron (NM_001081028, intron 3 of 22)	intron (NM_001081028, intron 3 of 22)	94192	NM_001368371	29861	Mm.101885	NM_013874	ENSMUSG00000030584	Dpf1	Neud4	D4, zinc and double PHD fingers family 1	protein-coding
1574	chr14	51127812	51128012	+	0	NA	intron (NM_001360117, intron 1 of 2)	RMER1B|Other|Other	-1125	NM_030098	78416	Mm.103835	NM_030098	ENSMUSG00000021880	Rnase6	9530043P15Rik|BB119466	ribonuclease, RNase A family, 6	protein-coding
481	chr4	82364948	82365305	+	0	NA	intron (NM_001113209, intron 3 of 11)	intron (NM_001113209, intron 3 of 11)	140653	NM_001113209	18028	Mm.317947	NM_008687	ENSMUSG00000008575	Nfib	6720429L07Rik|CTF|E030026I10Rik|NF-I/B|NF1-B|NFI-B	nuclear factor I/B	protein-coding
58	chr1	89899111	89899426	+	0	NA	Intergenic	Intergenic	31908	NM_010262	14472	Mm.204730	NM_010262	ENSMUSG00000034486	Gbx2	D130058E05Rik|Gbx-2|MMoxA|Stra7	gastrulation brain homeobox 2	protein-coding
397	chr3	121525454	121525723	+	0	NA	intron (NM_145394, intron 4 of 14)	intron (NM_145394, intron 4 of 14)	6756	NM_145394	213603	Mm.33062	NM_145394	ENSMUSG00000039865	Slc44a3	BC010552	solute carrier family 44, member 3	protein-coding
689	chr6	22288774	22289065	+	0	NA	exon (NM_053116, exon 2 of 4)	exon (NM_053116, exon 2 of 4)	692	NM_053116	93735	Mm.137403	NM_053116	ENSMUSG00000029671	Wnt16	E130309I19Rik	wingless-type MMTV integration site family, member 16	protein-coding
293	chr2	153045716	153046091	+	0	NA	intron (NM_001011732, intron 1 of 2)	intron (NM_001011732, intron 1 of 2)	14051	NM_001011732	228787	Mm.376111	NM_001011732	ENSMUSG00000042631	Xkr7	AY534253	X-linked Kx blood group related 7	protein-coding
374	chr3	90446466	90446646	+	0	NA	Intergenic	MIRc|SINE|MIR	-12920	NM_178876	229543	Mm.268564	NM_145540	ENSMUSG00000027933	Ints3	C77668	integrator complex subunit 3	protein-coding
125	chr1	165603464	165603771	+	0	NA	intron (NM_001083897, intron 4 of 5)	intron (NM_001083897, intron 4 of 5)	30924	NM_001001880	68481	Mm.46438	NM_001001880	ENSMUSG00000026566	Mpzl1	1110007A10Rik|PZR	myelin protein zero-like 1	protein-coding
495	chr4	95729563	95729774	+	0	NA	intron (NM_029347, intron 6 of 10)	intron (NM_029347, intron 6 of 10)	150247	NM_029347	75578	Mm.276098	NM_029347	ENSMUSG00000028573	Fggy	2310009E04Rik	FGGY carbohydrate kinase domain containing	protein-coding
1960	chr18	82565471	82565712	+	0	NA	intron (NM_001025254, intron 2 of 5)	intron (NM_001025254, intron 2 of 5)	11083	NM_001025254	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|jve|mld|shi	myelin basic protein	protein-coding
1183	chr10	75125715	75125884	+	0	NA	intron (NM_001081412, intron 2 of 22)	intron (NM_001081412, intron 2 of 22)	64903	NM_001081412	110279	Mm.333722	NM_001081412	ENSMUSG00000009681	Bcr	5133400C09Rik|AI561783|AI853148|mKIAA3017	breakpoint cluster region	protein-coding
2027	chrX	101772020	101772285	+	0	NA	Intergenic	ID|SINE|ID	-22504	NM_001359671	382231	Mm.328112	NM_001359671	ENSMUSG00000046774	8030474K03Rik	Gm1142	RIKEN cDNA 8030474K03 gene	protein-coding
882	chr7	89222817	89223050	+	0	NA	intron (NM_001360745, intron 4 of 13)	intron (NM_001360745, intron 4 of 13)	115854	NM_028343	72759	Mm.208477	NM_028343	ENSMUSG00000039428	Tmem135	2810439K08Rik|AW319712|PMP52	transmembrane protein 135	protein-coding
2018	chrX	72274830	72275077	+	0	NA	promoter-TSS (NM_017369)	promoter-TSS (NM_017369)	-232	NM_017369	14404	Mm.391288	NM_017369	ENSMUSG00000031340	Gabre	-	gamma-aminobutyric acid (GABA) A receptor, subunit epsilon	protein-coding
1136	chr10	18506680	18506871	+	0	NA	intron (NM_173390, intron 3 of 6)	intron (NM_173390, intron 3 of 6)	36794	NM_001163592	215819	Mm.297971	NM_173390	ENSMUSG00000039835	Nhsl1	5730409E15Rik|A630035H13Rik|A730096F01|BC013565|D10Bwg0940e|mKIAA1357	NHS-like 1	protein-coding
1870	chr17	86278131	86278419	+	0	NA	intron (NM_011104, intron 1 of 14)	intron (NM_011104, intron 1 of 14)	8903	NR_045435	72104	Mm.443401	NR_045435	ENSMUSG00000100738	2010106C02Rik	-	RIKEN cDNA 2010106C02 gene	ncRNA
1636	chr15	9596616	9596870	+	0	NA	intron (NM_001305042, intron 31 of 36)	intron (NM_001305042, intron 31 of 36)	-66867	NM_008372	16197	Mm.389	NM_008372	ENSMUSG00000003882	Il7r	CD127|IL-7Ralpha	interleukin 7 receptor	protein-coding
1450	chr13	34254841	34255046	+	0	NA	intron (NM_001033167, intron 3 of 10)	intron (NM_001033167, intron 3 of 10)	90239	NM_001033167	73102	Mm.23932	NM_001033167	ENSMUSG00000038267	Slc22a23	3110004L20Rik	solute carrier family 22, member 23	protein-coding
1028	chr8	120269057	120269248	+	0	NA	Intergenic	Intergenic	-40922	NR_110496	434353	Mm.411793	NR_110496	ENSMUSG00000097960	A330074K22Rik	-	RIKEN cDNA A330074K22 gene	ncRNA
400	chr3	123116067	123116297	+	0	NA	intron (NM_080451, intron 3 of 4)	intron (NM_080451, intron 3 of 4)	-81195	NM_001355462	59006	Mm.141157	NM_021503	ENSMUSG00000028116	Myoz2	1110012I24Rik|Fatz-2|Myozl2	myozenin 2	protein-coding
404	chr3	129573760	129573928	+	0	NA	intron (NM_130450, intron 2 of 4)	intron (NM_130450, intron 2 of 4)	-41456	NR_153368	102639747	Mm.393257	NR_153368		Gm35986	-	predicted gene, 35986	ncRNA
855	chr7	64988097	64988312	+	0	NA	intron (NM_183087, intron 1 of 9)	intron (NM_183087, intron 1 of 9)	-115164	NM_023239	66647	Mm.19944	NM_023239	ENSMUSG00000070520	Nsmce3	5730494G16Rik|AI642138|BB044375|HCA4|Mageg1|Ndnl2|mage-g1	NSE3 homolog, SMC5-SMC6 complex component	protein-coding
423	chr3	152958446	152958744	+	0	NA	intron (NM_012028, intron 2 of 4)	intron (NM_012028, intron 2 of 4)	23615	NM_012028	26938	Mm.40915	NM_012028	ENSMUSG00000039037	St6galnac5	AI851940|Siat7e	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	protein-coding
928	chr8	3597442	3597631	+	0	NA	intron (NM_001363239, intron 1 of 18)	B3A|SINE|B2	10086	NM_001363248	69697	Mm.390010	NM_027171	ENSMUSG00000044433	Camsap3	2310057J16Rik|Kiaa1543|Nezha	calmodulin regulated spectrin-associated protein family, member 3	protein-coding
759	chr6	103035065	103035262	+	0	NA	Intergenic	Intergenic	240779	NR_105792	102466636		NR_105792	ENSMUSG00000098533	Mir6373	Gm27870|mmu-mir-6373	microRNA 6373	ncRNA
874	chr7	80158788	80159018	+	0	NA	Intergenic	Intergenic	-27938	NM_013659	20352	Mm.275909	NM_013659	ENSMUSG00000030539	Sema4b	SemC|Semac|mKIAA1745	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B	protein-coding
476	chr4	63072951	63073282	+	0	NA	intron (NM_028327, intron 2 of 14)	intron (NM_028327, intron 2 of 14)	81056	NM_007443	11699	Mm.2197	NM_007443	ENSMUSG00000028356	Ambp	AI194774|ASPI|HI-30|Intin4|Itil|UTI	alpha 1 microglobulin/bikunin precursor	protein-coding
271	chr2	144224249	144224639	+	0	NA	Intergenic	L1MCa|LINE|L1	-35154	NR_136884	433481	Mm.330630	NR_136884	ENSMUSG00000074758	Gm5535	EG433481	predicted gene 5535	ncRNA
1620	chr14	103017048	103017232	+	0	NA	intron (NR_045657, intron 2 of 2)	intron (NR_045657, intron 2 of 2)	16663	NR_045657	71264	Mm.399572	NR_045657	ENSMUSG00000114980	4933432I03Rik	-	RIKEN cDNA 4933432I03 gene	ncRNA
1067	chr9	40519429	40519670	+	0	NA	intron (NM_001357617, intron 1 of 20)	intron (NM_001357617, intron 1 of 20)	11834	NM_001357617	235283	Mm.138434	NM_172768	ENSMUSG00000040111	Gramd1b	3222402H23|A930008A22Rik|AI593249|mKIAA1201	GRAM domain containing 1B	protein-coding
1328	chr11	119855375	119855556	+	0	NA	intron (NM_001306081, intron 16 of 32)	intron (NM_001306081, intron 16 of 32)	-21100	NR_045313	319454	Mm.442144	NR_045312	ENSMUSG00000085081	Rptoros	A430071A18Rik	regulatory associated protein of MTOR, complex 1, opposite strand	ncRNA
1874	chr17	87766108	87766306	+	0	NA	intron (NM_199251, intron 1 of 1)	MER90|LTR|ERV1	31787	NM_199251	210741	Mm.312046	NM_199251	ENSMUSG00000050138	Kcnk12	mntk1	potassium channel, subfamily K, member 12	protein-coding
672	chr5	146703764	146704108	+	0	NA	Intergenic	Intergenic	91020	NM_011669	22217	Mm.167971	NM_011669	ENSMUSG00000029640	Usp12	Ubh1	ubiquitin specific peptidase 12	protein-coding
545	chr4	136802570	136802761	+	0	NA	intron (NM_010142, intron 1 of 15)	MER113|DNA|hAT-Charlie	33347	NM_010142	13844	Mm.250981	NM_010142	ENSMUSG00000028664	Ephb2	Cek5|Drt|ETECK|Erk|Hek5|Nuk|Prkm5|Qek5|Sek3|Tyro5	Eph receptor B2	protein-coding
258	chr2	125512821	125513182	+	0	NA	Intergenic	Intergenic	-6563	NM_007993	14118	Mm.271644	NM_007993	ENSMUSG00000027204	Fbn1	AI536462|B430209H23|Fib-1|Tsk	fibrillin 1	protein-coding
1125	chr10	7630879	7631178	+	0	NA	intron (NM_001358647, intron 6 of 6)	intron (NM_001358647, intron 6 of 6)	-32343	NR_030698	320642	Mm.398806	NR_030698		A630066F11Rik	-	RIKEN cDNA A630066F11 gene	ncRNA
1481	chr13	49784035	49784223	+	0	NA	Intergenic	Intergenic	101999	NM_172015	105148	Mm.21118	NM_172015	ENSMUSG00000037851	Iars	2510016L12Rik|AI327140|AU044614|E430001P04Rik|ILRS	isoleucine-tRNA synthetase	protein-coding
1242	chr11	5851196	5851403	+	0	NA	Intergenic	RMER4B|LTR|ERVK	-10567	NM_009636	11568	Mm.3317	NM_009636	ENSMUSG00000020473	Aebp1	ACLP	AE binding protein 1	protein-coding
291	chr2	152360504	152360830	+	0	NA	intron (NR_033505, intron 1 of 4)	intron (NR_033505, intron 1 of 4)	14998	NR_033505	791417	Mm.451219	NR_033505	ENSMUSG00000068062	Gm14164	-	predicted gene 14164	ncRNA
884	chr7	92798967	92799148	+	0	NA	intron (NM_029494, intron 1 of 4)	intron (NM_029494, intron 1 of 4)	57343	NM_029494	75985	Mm.323004	NM_029494	ENSMUSG00000030643	Rab30	5033421K01Rik|AI323892|Rsb30	RAB30, member RAS oncogene family	protein-coding
336	chr3	37788783	37789166	+	0	NA	Intergenic	B4|SINE|B4	-64614	NM_198657	381438	Mm.490549	NM_198657	ENSMUSG00000058174	Gm5148	EG381438	predicted gene 5148	protein-coding
