PeakID (cmd=annotatePeaks.pl runx1_less_accessible.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
184	chr8	119627528	119627764	+	0	NA	intron (NM_025734, intron 2 of 2)	intron (NM_025734, intron 2 of 2)	8034	NM_025734	66733	Mm.358699	NM_025734	ENSMUSG00000045246	Kcng4	4921535I01Rik|AW049024|KV6.3|KV6.4	potassium voltage-gated channel, subfamily G, member 4	protein-coding
102	chr4	152087682	152088162	+	0	NA	intron (NR_104381, intron 2 of 21)	intron (NR_104381, intron 2 of 21)	1059	NR_104381	269608	Mm.332102	NM_001004156	ENSMUSG00000039713	Plekhg5	BC023181|Syx	pleckstrin homology domain containing, family G (with RhoGef domain) member 5	protein-coding
156	chr7	109513551	109513823	+	0	NA	Intergenic	Intergenic	-5508	NM_011975	26451	Mm.305750	NM_011975	ENSMUSG00000046364	Rpl27a	L27'|L27A|L29	ribosomal protein L27A	protein-coding
248	chr13	43832824	43833075	+	0	NA	Intergenic	Intergenic	47837	NM_001289915	12522	Mm.57175	NM_009856	ENSMUSG00000015396	Cd83	-	CD83 antigen	protein-coding
92	chr4	84060295	84060488	+	0	NA	Intergenic	MTC|LTR|ERVL-MaLR	-15512	NR_130998	78238	Mm.243903	NR_130998	ENSMUSG00000085217	6030471H07Rik	-	RIKEN cDNA 6030471H07 gene	ncRNA
275	chr15	57583946	57584125	+	0	NA	Intergenic	Intergenic	-106410	NM_172378	210463	Mm.26555	NM_172378	ENSMUSG00000022366	Slc22a22	oat-pg	solute carrier family 22 (organic cation transporter), member 22	protein-coding
191	chr9	37470240	37470434	+	0	NA	Intergenic	Intergenic	-18984	NM_146222	235184	Mm.127892	NM_146222	ENSMUSG00000042138	Msantd2	2810450G17Rik|9530092B10Rik	Myb/SANT-like DNA-binding domain containing 2	protein-coding
222	chr12	34990021	34990516	+	0	NA	Intergenic	RLTR19|LTR|ERVK	5507	NM_029294	75456	Mm.79179	NM_029294	ENSMUSG00000092305	Prps1l1	1700011K15Rik	phosphoribosyl pyrophosphate synthetase 1-like 1	protein-coding
180	chr8	91376059	91376367	+	0	NA	intron (NM_011936, intron 1 of 8)	G-rich|Low_complexity|Low_complexity	62688	NM_011936	26383	Mm.4375	NM_011936	ENSMUSG00000055932	Fto	AW743446|mKIAA1752	fat mass and obesity associated	protein-coding
293	chr17	10398277	10398526	+	0	NA	Intergenic	Intergenic	-57815	NR_077237	319750	Mm.383485	NR_077237	ENSMUSG00000089633	A230009B12Rik	-	RIKEN cDNA A230009B12 gene	ncRNA
295	chr17	13715597	13715868	+	0	NA	TTS (NM_022311)	TTS (NM_022311)	-44809	NM_010806	17356	Mm.59167	NM_010806	ENSMUSG00000068036	Afdn	5033403D15Rik|AF6|Af-6|Afadin|Gm314|I-afadin|Mllt4|S-afadin	afadin, adherens junction formation factor	protein-coding
212	chr11	26161407	26161615	+	0	NA	intron (NR_027973, intron 1 of 5)	intron (NR_027973, intron 1 of 5)	-40729	NR_105791	102466154		NR_105791	ENSMUSG00000099015	Mir6372	Gm27358|mmu-mir-6372	microRNA 6372	ncRNA
209	chr11	4236336	4236856	+	0	NA	promoter-TSS (NM_001013365)	promoter-TSS (NM_001013365)	-189	NM_001013365	18413	Mm.131422	NM_001013365	ENSMUSG00000058755	Osm	OncoM	oncostatin M	protein-coding
10	chr1	93015598	93015805	+	0	NA	3' UTR (NM_001110315, exon 47 of 47)	3' UTR (NM_001110315, exon 47 of 47)	9367	NM_001159658	208760	Mm.235537	NM_177587	ENSMUSG00000045091	Aqp12	AB084104|mAQP12	aquaporin 12	protein-coding
219	chr11	116315450	116315612	+	0	NA	Intergenic	Intergenic	-8781	NM_001347636	53413	Mm.22530	NM_016857	ENSMUSG00000020792	Exoc7	Exo70|sec70	exocyst complex component 7	protein-coding
326	chr19	24485328	24485684	+	0	NA	intron (NM_008846, intron 1 of 14)	URR1A|DNA|hAT-Charlie	-8032	NM_026520	68034	Mm.440181	NM_026520	ENSMUSG00000074922	Fam122a	2410124L17Rik|2900009I07Rik|Gm9849	family with sequence similarity 122, member A	protein-coding
217	chr11	95634941	95635282	+	0	NA	Intergenic	Intergenic	-31846	NM_008831	18673	Mm.263862	NM_008831	ENSMUSG00000038845	Phb	Bap32	prohibitin	protein-coding
193	chr9	73240260	73240741	+	0	NA	Intergenic	Intergenic	127031	NM_198609	225215	Mm.379366	NM_198609	ENSMUSG00000032215	Rsl24d1	2410159K22Rik	ribosomal L24 domain containing 1	protein-coding
111	chr5	52296542	52297013	+	0	NA	Intergenic	Intergenic	-67027	NM_011435	20657	Mm.2407	NM_011435	ENSMUSG00000072941	Sod3	AI314465|EC-SOD	superoxide dismutase 3, extracellular	protein-coding
254	chr13	67290308	67290573	+	0	NA	Intergenic	Lx5c|LINE|L1	11846	NR_033540	100038627	Mm.387089	NR_033540	ENSMUSG00000114442	F630042J09Rik	-	RIKEN cDNA F630042J09 gene	ncRNA
17	chr1	155233816	155234273	+	0	NA	intron (NM_001370865, intron 3 of 9)	intron (NM_001370865, intron 3 of 9)	10488	NM_001370865	207792	Mm.29270	NM_001370865	ENSMUSG00000033722	BC034090	6820428L09|mKIAA1614	cDNA sequence BC034090	protein-coding
220	chr11	120554623	120554806	+	0	NA	Intergenic	Intergenic	-3582	NM_026814	68701	Mm.46477	NM_026814	ENSMUSG00000025129	Ppp1r27	1110033I14Rik|Dysfip1|toonin	protein phosphatase 1, regulatory subunit 27	protein-coding
305	chr17	79982537	79982850	+	0	NA	Intergenic	Intergenic	79575	NM_144802	72692	Mm.64579	NM_144802	ENSMUSG00000024095	Hnrnpll	2510028H02Rik|2810036L13Rik|AI256697|AI852082|Hnrpll	heterogeneous nuclear ribonucleoprotein L-like	protein-coding
114	chr5	96938841	96939060	+	0	NA	Intergenic	MLT2B3|LTR|ERVL	17678	NR_131152	666266	Mm.32442	NR_131152	ENSMUSG00000106357	Gm8013	EG666266	predicted gene 8013	ncRNA
14	chr1	131006237	131006449	+	0	NA	Intergenic	MIRc|SINE|MIR	-13502	NM_010548	16153	Mm.874	NM_010548	ENSMUSG00000016529	Il10	CSIF|Il-10	interleukin 10	protein-coding
135	chr6	86197083	86197339	+	0	NA	intron (NM_031199, intron 1 of 5)	intron (NM_031199, intron 1 of 5)	1984	NM_031199	21802	Mm.137222	NM_031199	ENSMUSG00000029999	Tgfa	wa-1|wa1	transforming growth factor alpha	protein-coding
208	chr10	120780754	120781031	+	0	NA	TTS (NM_177092)	TTS (NM_177092)	15160	NR_038003	70874	Mm.427286	NR_038000	ENSMUSG00000044544	4921513I03Rik	-	RIKEN cDNA 4921513I03 gene	ncRNA
249	chr13	46397314	46397483	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	-20902	NM_001081425	666794	Mm.38269	NM_001081425	ENSMUSG00000038132	Rbm24	6330546B05Rik|AI606861	RNA binding motif protein 24	protein-coding
333	chrX	72274830	72275077	+	0	NA	promoter-TSS (NM_017369)	promoter-TSS (NM_017369)	-232	NM_017369	14404	Mm.391288	NM_017369	ENSMUSG00000031340	Gabre	-	gamma-aminobutyric acid (GABA) A receptor, subunit epsilon	protein-coding
51	chr2	152349977	152350300	+	0	NA	intron (NR_033505, intron 1 of 4)	intron (NR_033505, intron 1 of 4)	4469	NR_033505	791417	Mm.451219	NR_033505	ENSMUSG00000068062	Gm14164	-	predicted gene 14164	ncRNA
246	chr13	42018511	42018793	+	0	NA	Intergenic	Intergenic	-33369	NM_007772	110521	Mm.4808	NM_007772	ENSMUSG00000021366	Hivep1	Cryabp1	human immunodeficiency virus type I enhancer binding protein 1	protein-coding
83	chr4	53845452	53845764	+	0	NA	intron (NM_028053, intron 2 of 5)	intron (NM_028053, intron 2 of 5)	19563	NM_028053	52076	Mm.27184	NM_028053	ENSMUSG00000028420	Tmem38b	1600017F22Rik|AA437809|AV051057|D4Ertd89e|TRIC-B|mg33b	transmembrane protein 38B	protein-coding
307	chr17	84904921	84905230	+	0	NA	Intergenic	Intergenic	-51666	NM_001159497	19043	Mm.249695	NM_011151	ENSMUSG00000061130	Ppm1b	PP2CB	protein phosphatase 1B, magnesium dependent, beta isoform	protein-coding
186	chr8	120557529	120557726	+	0	NA	intron (NM_198671, intron 2 of 15)	intron (NM_198671, intron 2 of 15)	18931	NR_106159	102466849		NR_106159	ENSMUSG00000098280	Mir7687	Gm27573|mmu-mir-7687	microRNA 7687	ncRNA
81	chr4	47259915	47260196	+	0	NA	intron (NM_009928, intron 9 of 39)	intron (NM_009928, intron 9 of 39)	52043	NM_009928	12819	Mm.233547	NM_009928	ENSMUSG00000028339	Col15a1	-	collagen, type XV, alpha 1	protein-coding
302	chr17	62267699	62267902	+	0	NA	Intergenic	Intergenic	613517	NM_010109	13640	Mm.7978	NM_010109	ENSMUSG00000048915	Efna5	AL-1|AV158822|EFL-5|Ephrin-A5|Epl7|LERK-7|RAGS	ephrin A5	protein-coding
159	chr7	132719511	132719757	+	0	NA	intron (NM_175268, intron 4 of 4)	intron (NM_175268, intron 4 of 4)	57282	NM_001347630	77938	Mm.225649	NM_175268	ENSMUSG00000030956	Fam53b	A930008G19Rik|mKIAA0140	family with sequence similarity 53, member B	protein-coding
87	chr4	77627154	77627603	+	0	NA	intron (NR_160919, intron 3 of 39)	intron (NR_160919, intron 3 of 39)	584364	NR_160919	19266	Mm.184021	NM_011211	ENSMUSG00000028399	Ptprd	1110002J03Rik|3000002J10Rik|B230219D21Rik|R-PTP-delta	protein tyrosine phosphatase, receptor type, D	protein-coding
266	chr14	101510597	101510874	+	0	NA	intron (NM_001081278, intron 1 of 18)	intron (NM_001081278, intron 1 of 18)	98456	NM_001081278	210789	Mm.320639	NM_173380	ENSMUSG00000033083	Tbc1d4	5930406J04Rik|A930035N22|AV295684|As160	TBC1 domain family, member 4	protein-coding
107	chr5	27206020	27206569	+	0	NA	intron (NM_207282, intron 1 of 25)	intron (NM_207282, intron 1 of 25)	-55641	NM_001136060	13483	Mm.42078	NM_010075	ENSMUSG00000061576	Dpp6	B930011P16Rik|D5Buc3|D5Buc4|D5Buc5|DPP VI|Dpp-6|Gm1377|In(5)6H-p|Peplb|Rw	dipeptidylpeptidase 6	protein-coding
168	chr8	24595354	24595944	+	0	NA	promoter-TSS (NM_001293690)	promoter-TSS (NM_001293690)	17	NM_001293690	15930	Mm.392	NM_008324	ENSMUSG00000031551	Ido1	Ido|Indo	indoleamine 2,3-dioxygenase 1	protein-coding
44	chr2	117461532	117461851	+	0	NA	Intergenic	Intergenic	-118814	NM_011246	19419	Mm.42150	NM_011246	ENSMUSG00000027347	Rasgrp1	Rasgrp|calDAG-GEFII	RAS guanyl releasing protein 1	protein-coding
313	chr18	4769557	4769943	+	0	NA	Intergenic	Intergenic	-42736	NR_045881	100038439	Mm.387569	NR_045881	ENSMUSG00000097043	Gm10556	-	predicted gene 10556	ncRNA
327	chr19	28424027	28424477	+	0	NA	intron (NM_175459, intron 4 of 10)	MER5A|DNA|hAT-Charlie	-253972	NR_045330	320176	Mm.406716	NR_045330	ENSMUSG00000097735	D930032P07Rik	-	RIKEN cDNA D930032P07 gene	ncRNA
3	chr1	14866451	14866797	+	0	NA	Intergenic	Intergenic	52238	NM_177781	277328	Mm.186329	NM_177781	ENSMUSG00000032769	Trpa1	Anktm1|TRPA1b	transient receptor potential cation channel, subfamily A, member 1	protein-coding
163	chr8	14873775	14873994	+	0	NA	Intergenic	Intergenic	-14652	NM_012000	26889	Mm.254027	NM_012000	ENSMUSG00000026317	Cln8	mnd	ceroid-lipofuscinosis, neuronal 8	protein-coding
227	chr12	79970311	79970531	+	0	NA	Intergenic	Eulor12|DNA?|DNA?	-34157	NR_131074	77290	Mm.395042	NR_131073	ENSMUSG00000112765	9430078K24Rik	-	RIKEN cDNA 9430078K24 gene	ncRNA
189	chr9	21698805	21699094	+	0	NA	intron (NM_001174079, intron 29 of 33)	intron (NM_001174079, intron 29 of 33)	-24627	NM_001252659	16835	Mm.3213	NM_010700	ENSMUSG00000032193	Ldlr	Hlb301	low density lipoprotein receptor	protein-coding
30	chr2	24181802	24182288	+	0	NA	Intergenic	Intergenic	-4431	NM_153511	215257	Mm.249379	NM_153511	ENSMUSG00000044103	Il1f9	Il36g	interleukin 1 family, member 9	protein-coding
238	chr13	16453160	16453498	+	0	NA	Intergenic	Intergenic	-429906	NR_155430	100503142	Mm.359204	NR_155430		B230303A05Rik	B230303A05|EG328191	U1 small nuclear ribonucleoprotein 1C pseudogene	pseudo
46	chr2	130014920	130015452	+	0	NA	intron (NM_009374, intron 1 of 12)	intron (NM_009374, intron 1 of 12)	1222	NR_105757	102466628		NR_105757	ENSMUSG00000098347	Mir6339	Gm27848|mmu-mir-6339	microRNA 6339	ncRNA
149	chr7	43495325	43495594	+	0	NA	intron (NM_028737, intron 7 of 7)	intron (NM_028737, intron 7 of 7)	-5248	NM_001164518	210094	Mm.228087	NM_001164518	ENSMUSG00000013367	Iglon5	A230106M20Rik|Gm1431	IgLON family member 5	protein-coding
85	chr4	62734157	62734320	+	0	NA	Intergenic	Intergenic	60264	NM_001310706	50780	Mm.286753	NM_019492	ENSMUSG00000059810	Rgs3	4930506N09Rik|C2PA-RGS3|C2pa|PDZ-RGS3|RGS3S	regulator of G-protein signaling 3	protein-coding
279	chr16	10947827	10948149	+	0	NA	Intergenic	Intergenic	-33191	NR_131135	545180	Mm.373756	NR_131135	ENSMUSG00000095369	Gm21859	-	predicted gene, 21859	ncRNA
37	chr2	59806339	59806525	+	0	NA	intron (NM_198294, intron 15 of 26)	intron (NM_198294, intron 15 of 26)	76174	NM_028118	72137	Mm.288734	NM_028118	ENSMUSG00000026988	Wdsub1	1700048E19Rik|2610014F08Rik	WD repeat, SAM and U-box domain containing 1	protein-coding
188	chr9	21698805	21699094	+	0	NA	intron (NM_001174079, intron 29 of 33)	intron (NM_001174079, intron 29 of 33)	-24627	NM_001252659	16835	Mm.3213	NM_010700	ENSMUSG00000032193	Ldlr	Hlb301	low density lipoprotein receptor	protein-coding
55	chr2	152360504	152360830	+	0	NA	intron (NR_033505, intron 1 of 4)	intron (NR_033505, intron 1 of 4)	14998	NR_033505	791417	Mm.451219	NR_033505	ENSMUSG00000068062	Gm14164	-	predicted gene 14164	ncRNA
54	chr2	152359932	152360123	+	0	NA	intron (NR_033505, intron 1 of 4)	(TG)n|Simple_repeat|Simple_repeat	14358	NR_033505	791417	Mm.451219	NR_033505	ENSMUSG00000068062	Gm14164	-	predicted gene 14164	ncRNA
22	chr1	184101346	184101825	+	0	NA	Intergenic	Intergenic	67204	NM_022019	63953	Mm.404024	NM_022019	ENSMUSG00000039384	Dusp10	2610306G15Rik|AI158871|MKP-5|MKP5	dual specificity phosphatase 10	protein-coding
271	chr15	30864597	30864801	+	0	NA	intron (NM_008729, intron 12 of 22)	intron (NM_008729, intron 12 of 22)	-174427	NR_045186	73784	Mm.66947	NR_045186	ENSMUSG00000115474	4930430F21Rik	-	RIKEN cDNA 4930430F21 gene	ncRNA
86	chr4	65619456	65619653	+	0	NA	intron (NM_207109, intron 16 of 22)	intron (NM_207109, intron 16 of 22)	14568	NM_053084	69807	Mm.22786	NM_053084	ENSMUSG00000051675	Trim32	1810045E12Rik|3f3|BBS11|Zfp117	tripartite motif-containing 32	protein-coding
200	chr10	60077783	60077967	+	0	NA	intron (NM_001199187, intron 9 of 10)	intron (NM_001199187, intron 9 of 10)	-28382	NM_052994	94214	Mm.153429	NM_052994	ENSMUSG00000058297	Spock2	AA407235|Gcap26|mKIAA0275	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2	protein-coding
234	chr13	3886771	3887008	+	0	NA	intron (NM_001047159, intron 6 of 9)	intron (NM_001047159, intron 6 of 9)	6692	NM_001047159	56349	Mm.22261	NM_019671	ENSMUSG00000021215	Net1	Net1a|mNET1	neuroepithelial cell transforming gene 1	protein-coding
282	chr16	30174076	30174262	+	0	NA	Intergenic	Intergenic	93363	NM_027904	71756	Mm.290614	NM_027904	ENSMUSG00000023176	Cpn2	1300018K11Rik	carboxypeptidase N, polypeptide 2	protein-coding
261	chr13	113515188	113515452	+	0	NA	Intergenic	Intergenic	-12476	NR_045501	70917	Mm.491036	NR_045501	ENSMUSG00000114790	4921509O07Rik	-	RIKEN cDNA 4921509O07 gene	ncRNA
199	chr10	28694994	28695298	+	0	NA	intron (NM_178666, intron 1 of 5)	L1MDa|LINE|L1	26786	NM_178666	210757	Mm.123021	NM_178666	ENSMUSG00000049109	Themis	E430004N04Rik|Gasp|Spot|Tsepa|thylex	thymocyte selection associated	protein-coding
243	chr13	41516575	41516762	+	0	NA	Intergenic	Intergenic	-29308	NM_001111324	18003	Mm.288980	NM_017464	ENSMUSG00000021365	Nedd9	Cas-L|CasL|HEF1|MEF1|Nedd-9|p105	neural precursor cell expressed, developmentally down-regulated gene 9	protein-coding
53	chr2	152359741	152359930	+	0	NA	intron (NR_033505, intron 1 of 4)	intron (NR_033505, intron 1 of 4)	14166	NR_033505	791417	Mm.451219	NR_033505	ENSMUSG00000068062	Gm14164	-	predicted gene 14164	ncRNA
274	chr15	38066021	38066386	+	0	NA	intron (NM_001081359, intron 1 of 58)	intron (NM_001081359, intron 1 of 58)	12651	NM_001081359	70790	Mm.476840	NM_027553	ENSMUSG00000037487	Ubr5	Edd|Edd1	ubiquitin protein ligase E3 component n-recognin 5	protein-coding
74	chr3	143147319	143147685	+	0	NA	Intergenic	Intergenic	-95553	NR_040551	320072	Mm.136397	NR_040551	ENSMUSG00000105923	A830019L24Rik	-	RIKEN cDNA A830019L24 gene	ncRNA
240	chr13	35035551	35036093	+	0	NA	Intergenic	Intergenic	-41678	NM_011868	23986	Mm.491141	NM_011868	ENSMUSG00000021417	Eci2	Acbd2|Drs1|Hca88|Peci	enoyl-Coenzyme A delta isomerase 2	protein-coding
281	chr16	25840187	25840406	+	0	NA	intron (NM_001127260, intron 4 of 12)	intron (NM_001127260, intron 4 of 12)	38380	NM_011641	22061	Mm.20894	NM_011641	ENSMUSG00000022510	Trp63	AI462811|Ket|P51/P63|P63|P73l|Tp63|Trp53rp1	transformation related protein 63	protein-coding
64	chr3	65663096	65663382	+	0	NA	Intergenic	Intergenic	-2989	NM_001166659	624866	Mm.296317	NM_001037923	ENSMUSG00000074579	Lekr1	EG546798|EG624866|Gm6534	leucine, glutamate and lysine rich 1	protein-coding
4	chr1	17606531	17606742	+	0	NA	intron (NM_053191, intron 2 of 5)	intron (NM_053191, intron 2 of 5)	4735	NM_053191	94227	Mm.442452	NM_053191	ENSMUSG00000067780	Pi15	P24TI|P25TI|PI-15|SugarCrisp	peptidase inhibitor 15	protein-coding
190	chr9	31844718	31845268	+	0	NA	Intergenic	Intergenic	68292	NM_013800	12023	Mm.261044	NM_013800	ENSMUSG00000032033	Barx2	2310006E12Rik|Barx2b	BarH-like homeobox 2	protein-coding
322	chr18	70176599	70176815	+	0	NA	Intergenic	Intergenic	-35102	NM_001082553	80718	Mm.246753	NM_030554	ENSMUSG00000024511	Rab27b	2310021G14Rik|B130064M09Rik	RAB27B, member RAS oncogene family	protein-coding
213	chr11	29807454	29807664	+	0	NA	intron (NM_146016, intron 17 of 41)	intron (NM_146016, intron 17 of 41)	18109	NM_176829	216622	Mm.443260	NM_176829	ENSMUSG00000078157	4931440F15Rik	Fem1ab	RIKEN cDNA 4931440F15 gene	protein-coding
230	chr12	98670072	98670495	+	0	NA	TTS (NM_001289574)	TTS (NM_001289574)	42141	NM_178914	104871	Mm.210053	NM_178914	ENSMUSG00000021007	Spata7	AI661438|B230306G18Rik|HSD3	spermatogenesis associated 7	protein-coding
320	chr18	46493470	46493679	+	0	NA	Intergenic	Intergenic	-27758	NR_045438	72076	Mm.82766	NM_028086		Mospd4	2010013H21Rik	motile sperm domain containing 4	pseudo
207	chr10	110931255	110931466	+	0	NA	intron (NM_007792, intron 1 of 5)	intron (NM_007792, intron 1 of 5)	11184	NM_007792	13008	Mm.2020	NM_007792	ENSMUSG00000020186	Csrp2	AW551867|Crp2|SmLim	cysteine and glycine-rich protein 2	protein-coding
38	chr2	62709732	62709936	+	0	NA	intron (NM_133207, intron 14 of 15)	ORR1F|LTR|ERVL-MaLR	45507	NM_145523	227960	Mm.219877	NM_145523	ENSMUSG00000026893	Gca	5133401E04Rik|AI573844	grancalcin	protein-coding
272	chr15	31235359	31235581	+	0	NA	intron (NM_146057, intron 1 of 3)	intron (NM_146057, intron 1 of 3)	11085	NM_146057	223453	Mm.222867	NM_146057	ENSMUSG00000039168	Dap	4921531N22Rik|AI789753|AU040360	death-associated protein	protein-coding
251	chr13	52600210	52600571	+	0	NA	intron (NM_011518, intron 1 of 13)	intron (NM_011518, intron 1 of 13)	3508	NM_011518	20963	Mm.375031	NM_011518	ENSMUSG00000021457	Syk	Sykb	spleen tyrosine kinase	protein-coding
169	chr8	24606582	24606810	+	0	NA	intron (NR_136908, intron 19 of 19)	intron (NR_136908, intron 19 of 19)	-9744	NM_008324	15930	Mm.392	NM_008324	ENSMUSG00000031551	Ido1	Ido|Indo	indoleamine 2,3-dioxygenase 1	protein-coding
11	chr1	96684015	96684253	+	0	NA	Intergenic	Intergenic	-21561	NR_040478	75159	Mm.243854	NR_040478	ENSMUSG00000100589	4930533P14Rik	-	RIKEN cDNA 4930533P14 gene	ncRNA
39	chr2	70474061	70474374	+	0	NA	promoter-TSS (NM_022435)	promoter-TSS (NM_022435)	-706	NM_022435	64406	Mm.423397	NM_022435	ENSMUSG00000075304	Sp5	-	trans-acting transcription factor 5	protein-coding
289	chr16	94085442	94085718	+	0	NA	5' UTR (NM_011377, exon 1 of 11)	5' UTR (NM_011377, exon 1 of 11)	320	NM_011377	20465	Mm.4775	NM_011377	ENSMUSG00000062713	Sim2	bHLHe15	single-minded family bHLH transcription factor 2	protein-coding
62	chr3	40694645	40694819	+	0	NA	intron (NM_175515, intron 13 of 15)	LTR16A|LTR|ERVL	-14139	NM_178386	73333	Mm.78691	NM_178386	ENSMUSG00000069041	Slc25a31	1700034J06Rik|Ant4|Sfec	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31	protein-coding
306	chr17	84167443	84167631	+	0	NA	Intergenic	Intergenic	20410	NM_001001806	12193	Mm.259321	NM_001001806	ENSMUSG00000045817	Zfp36l2	Brf2|ERF2|Tis11d	zinc finger protein 36, C3H type-like 2	protein-coding
110	chr5	52026181	52026377	+	0	NA	Intergenic	Intergenic	109738	NR_105845	102466648		NR_105845	ENSMUSG00000098726	Mir6417	Gm27334|mmu-mir-6417	microRNA 6417	ncRNA
338	chrX	162846531	162846945	+	0	NA	intron (NR_038088, intron 3 of 5)	intron (NR_038088, intron 3 of 5)	-17284	NM_178935	353170	Mm.270186	NM_178935	ENSMUSG00000038344	Txlng	4932441K18Rik|Fiat|Lrp	taxilin gamma	protein-coding
115	chr5	105236016	105236291	+	0	NA	5' UTR (NM_001039646, exon 2 of 11)	5' UTR (NM_001039646, exon 2 of 11)	3380	NM_001039646	626578	Mm.275893	NM_001039646	ENSMUSG00000105096	Gbp10	-	guanylate-binding protein 10	protein-coding
98	chr4	106196627	106196791	+	0	NA	Intergenic	Lx7|LINE|L1	-44504	NR_151521	105244641	Mm.404914	NR_151521		Gm12724	-	predicted gene 12724	ncRNA
154	chr7	79714224	79714444	+	0	NA	promoter-TSS (NM_001291222)	promoter-TSS (NM_001291222)	-148	NM_001291222	16576	Mm.101633	NM_010626	ENSMUSG00000050382	Kif7	-	kinesin family member 7	protein-coding
2	chr1	12940190	12940446	+	0	NA	intron (NM_172841, intron 2 of 8)	intron (NM_172841, intron 2 of 8)	50817	NM_172841	240726	Mm.24481	NM_172841	ENSMUSG00000025938	Slco5a1	4732454B15|A630033C23Rik|AA407151	solute carrier organic anion transporter family, member 5A1	protein-coding
125	chr6	29897060	29897436	+	0	NA	intron (NM_001347084, intron 13 of 17)	intron (NM_001347084, intron 13 of 17)	-19765	NR_104576	320609	Mm.56097	NM_177204	ENSMUSG00000039629	Strip2	D330017J20Rik|Fam40b	striatin interacting protein 2	protein-coding
267	chr14	115472504	115472745	+	0	NA	intron (NM_175500, intron 5 of 7)	intron (NM_175500, intron 5 of 7)	-63072	NR_045761	75088	Mm.444706	NR_045761	ENSMUSG00000093551	4930505G20Rik	-	RIKEN cDNA 4930505G20 gene	ncRNA
66	chr3	90388138	90388379	+	0	NA	intron (NM_001316688, intron 3 of 9)	URR1A|DNA|hAT-Charlie	1680	NM_011988	26568	Mm.45519	NM_011988	ENSMUSG00000027932	Slc27a3	Acsvl3|FATP-3|FATP3|Vlcs-3	solute carrier family 27 (fatty acid transporter), member 3	protein-coding
203	chr10	81464414	81464664	+	0	NA	intron (NM_176954, intron 9 of 11)	CpG-1367	8592	NM_001311127	319586	Mm.152689	NM_176954	ENSMUSG00000034818	Celf5	4930565A21Rik|Brunol5	CUGBP, Elav-like family member 5	protein-coding
93	chr4	87859101	87859488	+	0	NA	intron (NM_027326, intron 4 of 10)	intron (NM_027326, intron 4 of 10)	-52971	NM_001286158	70122	Mm.288898	NM_027326	ENSMUSG00000028496	Mllt3	2210011H10Rik|2610012I03Rik|3830408D16Rik|Af9|D4Ertd321e	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3	protein-coding
48	chr2	135737550	135737847	+	0	NA	intron (NM_001355153, intron 1 of 38)	MLT1H2|LTR|ERVL-MaLR	-27140	NM_001355154	18798	Mm.38009	NM_013829	ENSMUSG00000039943	Plcb4	A930039J07Rik|AI854601|C230058B11Rik	phospholipase C, beta 4	protein-coding
260	chr13	113197943	113198317	+	0	NA	Intergenic	Intergenic	-11529	NM_023612	71690	Mm.38929	NM_023612	ENSMUSG00000042379	Esm1	0610042H23Rik|AV004503|ESM-1	endothelial cell-specific molecule 1	protein-coding
301	chr17	62246555	62246992	+	0	NA	Intergenic	Intergenic	634544	NM_010109	13640	Mm.7978	NM_010109	ENSMUSG00000048915	Efna5	AL-1|AV158822|EFL-5|Ephrin-A5|Epl7|LERK-7|RAGS	ephrin A5	protein-coding
323	chr18	75045439	75045685	+	0	NA	intron (NM_027727, intron 2 of 16)	intron (NM_027727, intron 2 of 16)	26798	NM_027727	69190	Mm.173826	NM_027727	ENSMUSG00000035765	Dym	1810041M12Rik|4933427L07Rik|C030019K18Rik	dymeclin	protein-coding
69	chr3	116413588	116413789	+	0	NA	intron (NM_001080818, intron 2 of 15)	intron (NM_001080818, intron 2 of 15)	10344	NM_001080818	229776	Mm.17647	NM_001080818	ENSMUSG00000033502	Cdc14a	A830059A17Rik|CDC14A2|CDC14a1|Cdc14	CDC14 cell division cycle 14A	protein-coding
96	chr4	97666481	97666667	+	0	NA	intron (NM_001122952, intron 1 of 10)	intron (NM_001122952, intron 1 of 10)	-81983	NR_015513	319865	Mm.373807	NM_177023		E130114P18Rik	-	RIKEN cDNA E130114P18 gene	ncRNA
88	chr4	82364948	82365305	+	0	NA	intron (NM_001113209, intron 3 of 11)	intron (NM_001113209, intron 3 of 11)	140653	NM_001113209	18028	Mm.317947	NM_008687	ENSMUSG00000008575	Nfib	6720429L07Rik|CTF|E030026I10Rik|NF-I/B|NF1-B|NFI-B	nuclear factor I/B	protein-coding
131	chr6	56617021	56617438	+	0	NA	Intergenic	Intergenic	87470	NM_025520	66373	Mm.25642	NM_025520	ENSMUSG00000091625	Lsm5	2010208O10Rik|2310034K10Rik	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated	protein-coding
